A440 一	A441 乙	A442 丁	
A619 ?	A61A ?	A61B ?	A61C ?	A61D ?	A61E ?	A61F ?	A620 ?	A621 ?	A622 ?	
A623 ?	A624 ?	A625 ?	A626 ?	A627 ?	A628 ?	A629 ?	A62A ?	A62B ?	A62C ?	
A62D ?	A62E ?	A62F ?	A630 ?	A631 ?	A632 ?	A633 ?	A634 ?	A635 ?	A636 ?	
A637 ?	A638 ?	A639 ?	A63A ?	A63B ?	A63C ?	A63D ?	A63E ?	A63F ?	A640 共	
A641 再	A642 冰	A643 列	A644 刑	A645 划	A646 刎	A647 刖	A648 劣	A649 匈	A64A 匡	
A64B 匠	A64C 印	A64D 危	A64E 吉	A64F 吏	A650 同	A651 吊	A652 吐	A653 吁	A654 吋	
A655 各	A656 向	A657 名	A658 合	A659 吃	A65A 后	A65B 吆	A65C 吒	A65D 因	A65E 回	
A65F 囝	A660 圳	A661 地	A662 在	A663 圭	A664 圬	A665 圯	A666 圩	A667 夙	A668 多	
A669 夷	A66A 夸	A66B 妄	A66C 奸	A66D 妃	A66E 好	A66F 她	A670 如	A671 妁	A672 字	
A673 存	A674 宇	A675 守	A676 宅	A677 安	A678 寺	A679 尖	A67A 屹	A67B 州	A67C 帆	
A67D 并	A67E 年	A67F ?	A680 ?	A681 ?	A682 ?	A683 ?	A684 ?	A685 ?	A686 ?	
A687 ?	A688 ?	A689 ?	A68A ?	A68B ?	A68C ?	A68D ?	A68E ?	A68F ?	A690 ?	
A691 ?	A692 ?	A693 ?	A694 ?	A695 ?	A696 ?	A697 ?	A698 ?	A699 ?	A69A ?	
A69B ?	A69C ?	A69D ?	A69E ?	A69F ?	A6A0 ?	A6A1 式	A6A2 弛	A6A3 忙	A6A4 忖	
A6A5 戎	A6A6 戌	A6A7 戍	A6A8 成	A6A9 扣	A6AA 扛	A6AB 托	A6AC 收	A6AD 早	A6AE 旨	
A6AF 旬	A6B0 旭	A6B1 曲	A6B2 曳	A6B3 有	A6B4 朽	A6B5 朴	A6B6 朱	A6B7 朵	A6B8 次	
A6B9 此	A6BA 死	A6BB 氖	A6BC 汝	A6BD 汗	A6BE 汙	A6BF 江	A6C0 池	A6C1 汐	A6C2 汕	
A6C3 污	A6C4 汛	A6C5 汍	A6C6 汎	A6C7 灰	A6C8 牟	A6C9 牝	A6CA 百	A6CB 竹	A6CC 米	
A6CD 糸	A6CE 缶	A6CF 羊	A6D0 羽	A6D1 老	A6D2 考	A6D3 而	A6D4 耒	A6D5 耳	A6D6 聿	
A6D7 肉	A6D8 肋	A6D9 肌	A6DA 臣	A6DB 自	A6DC 至	A6DD 臼	A6DE 舌	A6DF 舛	A6E0 舟	
A6E1 艮	A6E2 色	A6E3 艾	A6E4 虫	A6E5 血	A6E6 行	A6E7 衣	A6E8 西	A6E9 阡	A6EA 串	
A6EB 亨	A6EC 位	A6ED 住	A6EE 佇	A6EF 佗	A6F0 佞	A6F1 伴	A6F2 佛	A6F3 何	A6F4 估	
A6F5 佐	A6F6 佑	A6F7 伽	A6F8 伺	A6F9 伸	A6FA 佃	A6FB 佔	A6FC 似	A6FD 但	A6FE 佣	
A6FF ?	A700 ? 	A701 ?	A702 ?	A703 ?	A704 ?	A705 ?	A706 ?	A707 ?	A708 ?	
A709 ?	A70A ?
	A70B ?	A70C ?	A70D ?	A70E ?	A70F ?	A710 ?	A711 ?	A712 ?	
A713 ?	A714 ?	A715 ?	A716 ?	A717 ?	A718 ?	A719 ?	A71A ?	A71B ?	A71C ?	
A71D ?	A71E ?	A71F ?	A720 ?	A721 ?	A722 ?	A723 ?	A724 ?	A725 ?	A726 ?	
A727 ?	A728 ?	A729 ?	A72A ?	A72B ?	A72C ?	A72D ?	A72E ?	A72F ?	A730 ?	
A731 ?	A732 ?	A733 ?	A734 ?	A735 ?	A736 ?	A737 ?	A738 ?	A739 ?	A73A ?	
A73B ?	A73C ?	A73D ?	A73E ?	A73F ?	A740 作	A741 你	A742 伯	A743 低	A744 伶	
A745 余	A746 佝	A747 佈	A748 佚	A749 兌	A74A 克	A74B 免	A74C 兵	A74D 冶	A74E 冷	
A74F 別	A750 判	A751 利	A752 刪	A753 刨	A754 劫	A755 助	A756 努	A757 劬	A758 匣	
A759 即	A75A 卵	A75B 吝	A75C 吭	A75D 吞	A75E 吾	A75F 否	A760 呎	A761 吧	A762 呆	
A763 呃	A764 吳	A765 呈	A766 呂	A767 君	A768 吩	A769 告	A76A 吹	A76B 吻	A76C 吸	
A76D 吮	A76E 吵	A76F 吶	A770 吠	A771 吼	A772 呀	A773 吱	A774 含	A775 吟	A776 听	
A777 囪	A778 困	A779 囤	A77A 囫	A77B 坊	A77C 坑	A77D 址	A77E 坍	A77F ?	A780 ?	
A781 ?	A782 ?	A783 ?	A784 ?	A785 ?	A786 ?	A787 ?	A788 ?	A789 ?	A78A ?	
A78B ?	A78C ?	A78D ?	A78E ?	A78F ?	A790 ?	A791 ?	A792 ?	A793 ?	A794 ?	
A795 ?	A796 ?	A797 ?	A798 ?	A799 ?	A79A ?	A79B ?	A79C ?	A79D ?	A79E ?	
A79F ?	A7A0 ?	A7A1 均	A7A2 坎	A7A3 圾	A7A4 坐	A7A5 坏	A7A6 圻	A7A7 壯	A7A8 夾	
A7A9 妝	A7AA 妒	A7AB 妨	A7AC 妞	A7AD 妣	A7AE 妙	A7AF 妖	A7B0 妍	A7B1 妤	A7B2 妓	
A7B3 妊	A7B4 妥	A7B5 孝	A7B6 孜	A7B7 孚	A7B8 孛	A7B9 完	A7BA 宋	A7BB 宏	A7BC 尬	
A7BD 局	A7BE 屁	A7BF 尿	A7C0 尾	A7C1 岐	A7C2 岑	A7C3 岔	A7C4 岌	A7C5 巫	A7C6 希	
A7C7 序	A7C8 庇	A7C9 床	A7CA 廷	A7CB 弄	A7CC 弟	A7CD 彤	A7CE 形	A7CF 彷	A7D0 役	
A7D1 忘	A7D2 忌	A7D3 志	A7D4 忍	A7D5 忱	A7D6 快	A7D7 忸	A7D8 忪	A7D9 戒	A7DA 我	
A7DB 抄	A7DC 抗	A7DD 抖	A7DE 技	A7DF 扶	A7E0 抉	A7E1 扭	A7E2 把	A7E3 扼	A7E4 找	
A7E5 批	A7E6 扳	A7E7 抒	A7E8 扯	A7E9 折	A7EA 扮	A7EB 投	A7EC 抓	A7ED 抑	A7EE 抆	
A7EF 改	A7F0 攻	A7F1 攸	A7F2 旱	A7F3 更	A7F4 束	A7F5 李	A7F6 杏	A7F7 材	A7F8 村	
A7F9 杜	A7FA 杖	A7FB 杞	A7FC 杉	A7FD 杆	A7FE 杠	A7FF ?	A800 ? 	A801 ?	A802 ?	
A803 ?	A804 ?	A805 ?	A806 ?	A807 ?	A808 ?	A809 ?	A80A ?
	A80B ?	A80C ?	
A80D ?	A80E ?	A80F ?	A810 ?	A811 ?	A812 ?	A813 ?	A814 ?	A815 ?	A816 ?	
A817 ?	A818 ?	A819 ?	A81A ?	A81B ?	A81C ?	A81D ?	A81E ?	A81F ?	A820 ?	
A821 ?	A822 ?	A823 ?	A824 ?	A825 ?	A826 ?	A827 ?	A828 ?	A829 ?	A82A ?	
A82B ?	A82C ?	A82D ?	A82E ?	A82F ?	A830 ?	A831 ?	A832 ?	A833 ?	A834 ?	
A835 ?	A836 ?	A837 ?	A838 ?	A839 ?	A83A ?	A83B ?	A83C ?	A83D ?	A83E ?	
A83F ?	A840 杓	A841 杗	A842 步	A843 每	A844 求	A845 汞	A846 沙	A847 沁	A848 沈	
A849 沉	A84A 沅	A84B 沛	A84C 汪	A84D 決	A84E 沐	A84F 汰	A850 沌	A851 汨	A852 沖	
A853 沒	A854 汽	A855 沃	A856 汲	A857 汾	A858 汴	A859 沆	A85A 汶	A85B 沍	A85C 沔	
A85D 沘	A85E 沂	A85F 灶	A860 灼	A861 災	A862 灸	A863 牢	A864 牡	A865 牠	A866 狄	
A867 狂	A868 玖	A869 甬	A86A 甫	A86B 男	A86C 甸	A86D 皂	A86E 盯	A86F 矣	A870 私	
A871 秀	A872 禿	A873 究	A874 系	A875 罕	A876 肖	A877 肓	A878 肝	A879 肘	A87A 肛	
A87B 肚	A87C 育	A87D 良	A87E 芒	A87F ?	A880 ?	A881 ?	A882 ?	A883 ?	A884 ?	
A885 ?	A886 ?	A887 ?	A888 ?	A889 ?	A88A ?	A88B ?	A88C ?	A88D ?	A88E ?	
A88F ?	A890 ?	A891 ?	A892 ?	A893 ?	A894 ?	A895 ?	A896 ?	A897 ?	A898 ?	
A899 ?	A89A ?	A89B ?	A89C ?	A89D ?	A89E ?	A89F ?	A8A0 ?	A8A1 芋	A8A2 芍	
A8A3 見	A8A4 角	A8A5 言	A8A6 谷	A8A7 豆	A8A8 豕	A8A9 貝	A8AA 赤	A8AB 走	A8AC 足	
A8AD 身	A8AE 車	A8AF 辛	A8B0 辰	A8B1 迂	A8B2 迆	A8B3 迅	A8B4 迄	A8B5 巡	A8B6 邑	
A8B7 邢	A8B8 邪	A8B9 邦	A8BA 那	A8BB 酉	A8BC 釆	A8BD 里	A8BE 防	A8BF 阮	A8C0 阱	
A8C1 阪	A8C2 阬	A8C3 並	A8C4 乖	A8C5 乳	A8C6 事	A8C7 些	A8C8 亞	A8C9 享	A8CA 京	
A8CB 佯	A8CC 依	A8CD 侍	A8CE 佳	A8CF 使	A8D0 佬	A8D1 供	A8D2 例	A8D3 來	A8D4 侃	
A8D5 佰	A8D6 併	A8D7 侈	A8D8 佩	A8D9 佻	A8DA 侖	A8DB 佾	A8DC 侏	A8DD 侑	A8DE 佺	
A8DF 兔	A8E0 兒	A8E1 兕	A8E2 兩	A8E3 具	A8E4 其	A8E5 典	A8E6 冽	A8E7 函	A8E8 刻	
A8E9 券	A8EA 刷	A8EB 刺	A8EC 到	A8ED 刮	A8EE 制	A8EF 剁	A8F0 劾	A8F1 劻	A8F2 卒	
A8F3 協	A8F4 卓	A8F5 卑	A8F6 卦	A8F7 卷	A8F8 卸	A8F9 卹	A8FA 取	A8FB 叔	A8FC 受	
A8FD 味	A8FE 呵	A8FF ?	A900 ? 	A901 ?	A902 ?	A903 ?	A904 ?	A905 ?	A906 ?	
A907 ?	A908 ?	A909 ?	A90A ?
	A90B ?	A90C ?	A90D ?	A90E ?	A90F ?	A910 ?	
A911 ?	A912 ?	A913 ?	A914 ?	A915 ?	A916 ?	A917 ?	A918 ?	A919 ?	A91A ?	
A91B ?	A91C ?	A91D ?	A91E ?	A91F ?	A920 ?	A921 ?	A922 ?	A923 ?	A924 ?	
A925 ?	A926 ?	A927 ?	A928 ?	A929 ?	A92A ?	A92B ?	A92C ?	A92D ?	A92E ?	
A92F ?	A930 ?	A931 ?	A932 ?	A933 ?	A934 ?	A935 ?	A936 ?	A937 ?	A938 ?	
A939 ?	A93A ?	A93B ?	A93C ?	A93D ?	A93E ?	A93F ?	A940 咖	A941 呸	A942 咕	
A943 咀	A944 呻	A945 呷	A946 咄	A947 咒	A948 咆	A949 呼	A94A 咐	A94B 呱	A94C 呶	
A94D 和	A94E 咚	A94F 呢	A950 周	A951 咋	A952 命	A953 咎	A954 固	A955 垃	A956 坷	
A957 坪	A958 坩	A959 坡	A95A 坦	A95B 坤	A95C 坼	A95D 夜	A95E 奉	A95F 奇	A960 奈	
A961 奄	A962 奔	A963 妾	A964 妻	A965 委	A966 妹	A967 妮	A968 姑	A969 姆	A96A 姐	
A96B 姍	A96C 始	A96D 姓	A96E 姊	A96F 妯	A970 妳	A971 姒	A972 姅	A973 孟	A974 孤	
A975 季	A976 宗	A977 定	A978 官	A979 宜	A97A 宙	A97B 宛	A97C 尚	A97D 屈	A97E 居	
A97F ?	A980 ?	A981 ?	A982 ?	A983 ?	A984 ?	A985 ?	A986 ?	A987 ?	A988 ?	
A989 ?	A98A ?	A98B ?	A98C ?	A98D ?	A98E ?	A98F ?	A990 ?	A991 ?	A992 ?	
A993 ?	A994 ?	A995 ?	A996 ?	A997 ?	A998 ?	A999 ?	A99A ?	A99B ?	A99C ?	
A99D ?	A99E ?	A99F ?	A9A0 ?	A9A1 屆	A9A2 岷	A9A3 岡	A9A4 岸	A9A5 岩	A9A6 岫	
A9A7 岱	A9A8 岳	A9A9 帘	A9AA 帚	A9AB 帖	A9AC 帕	A9AD 帛	A9AE 帑	A9AF 幸	A9B0 庚	
A9B1 店	A9B2 府	A9B3 底	A9B4 庖	A9B5 延	A9B6 弦	A9B7 弧	A9B8 弩	A9B9 往	A9BA 征	
A9BB 彿	A9BC 彼	A9BD 忝	A9BE 忠	A9BF 忽	A9C0 念	A9C1 忿	A9C2 怏	A9C3 怔	A9C4 怯	
A9C5 怵	A9C6 怖	A9C7 怪	A9C8 怕	A9C9 怡	A9CA 性	A9CB 怩	A9CC 怫	A9CD 怛	A9CE 或	
